Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Liberty broadband corp class c,LBRDK,"",8044273.0,841994000.0,7.2162,7.0912,1,0.0,0.0,,4.4311298,Q2 2016,COMMUNICATIONS,"","",60.02
Servicenow inc,NOW,"",2718105.0,689991000.0,5.9135,6.372,2,-25617.0,-0.933659,reduction,1.4496560,Q2 2018,INFORMATION TECHNOLOGY,"","",193.9
Alibaba group holding ltd adr,BABA,"",3909005.0,653703000.0,5.6025,4.522,3,753994.0,23.8983,addition,0.1536317,Q3 2016,COMMUNICATIONS,"","",133.8881
Global payments inc.,GPN,"",4082229.0,649074000.0,5.5628,2.5128,4,2227014.0,120.04075,addition,2.6054563,Q2 2019,INFORMATION TECHNOLOGY,"","",159.5135
Meta platforms  inc.,FB,"",3511664.0,625358000.0,5.3596,5.9879,5,-156366.0,-4.262942,reduction,0.1230889,Q3 2013,COMMUNICATIONS,"","",109.49
Anaplan inc,PLAN,"",12813491.0,602234000.0,5.1614,5.1697,6,703381.0,5.808213,addition,9.9206341,Q4 2018,INFORMATION TECHNOLOGY,"","",33.3621
Mastercard inc,MA,"",2105287.0,571733000.0,4.9,4.7229,7,-5538.0,-0.262362,reduction,0.2075074,Q4 2018,FINANCE,"","",221.45
Microsoft corp.,MSFT,"",4005847.0,556933000.0,4.7732,5.9311,8,-1228682.0,-23.472637,reduction,0.0524641,Q4 2017,INFORMATION TECHNOLOGY,"","",99.96
Netflix inc,NFLX,"",1920103.0,513858000.0,4.404,5.2519,9,229712.0,13.589282,addition,0.4385399,Q4 2012,COMMUNICATIONS,"","",121.4883
Amazon.com inc.,AMZN,"",266755.0,463063000.0,3.9686,4.3419,10,-4328.0,-1.596559,reduction,0.0539269,Q4 2009,CONSUMER DISCRETIONARY,"","",1022.35
Visa inc,V,"",2258063.0,388409000.0,3.3288,3.6845,11,-251918.0,-10.03665,reduction,0.1138188,Q3 2018,FINANCE,"","",148.69
Adobe systems  inc.,ADBE,"",1391642.0,384441000.0,3.2948,5.1393,12,-670484.0,-32.514211,reduction,0.2866764,Q3 2017,INFORMATION TECHNOLOGY,"","",247.11
Square inc,SQ,"",5996044.0,371455000.0,3.1835,2.7015,13,1592523.0,36.164765,addition,1.4037984,Q2 2019,FINANCE,"","",69.72
Paypal holdings inc,PYPL,"",3099820.0,321110000.0,2.7521,3.1808,14,-185642.0,-5.650408,reduction,0.2634378,Q1 2016,COMMUNICATIONS,"","",54.52
Activision blizzard inc,ATVI,"",6059113.0,320648000.0,2.7481,2.3582,15,152327.0,2.578847,addition,0.7899447,Q4 2014,INFORMATION TECHNOLOGY,"","",38.1704
Uber technologies inc,UBER,"",10459110.0,318689000.0,2.7313,4.1031,16,0.0,0.0,,0.6152418,Q2 2019,CONSUMER DISCRETIONARY,"","",46.38
Intuitive surgical inc,ISRG,"",1599762.0,287920000.0,2.4676,2.5585,17,-130194.0,-7.525856,reduction,0.4626933,Q2 2019,HEALTH CARE,"","",524.55
Motorola solutions inc,MSI,"",1592277.0,271340000.0,2.3255,2.4147,18,-120000.0,-7.008212,reduction,0.9617522,Q3 2018,INFORMATION TECHNOLOGY,"","",163.46
Broadcom ltd. (avago technologies),AVGO,"",743799.0,205341000.0,1.7599,1.7421,19,28303.0,3.955717,addition,0.1868513,Q1 2014,INFORMATION TECHNOLOGY,"","",159.9917
Shopify inc,SHOP,"",545718.0,170078000.0,1.4576,1.3765,20,3533.0,0.651623,addition,0.4849533,Q2 2017,COMMUNICATIONS,"","",97.118
Snap inc class a,SNAP,"",10513250.0,166110000.0,1.4236,,21,10513250.0,,new,0.7622329,Q3 2019,UTILITIES AND TELECOMMUNICATIONS,"","",15.8
Netease inc adr,NTES,"",2906690.0,154741000.0,1.3262,1.7724,22,-1189745.0,-29.043424,reduction,0.4543123,Q2 2019,COMMUNICATIONS,"","",51.15
Sea ltd adr,SE,"",4642815.0,143695000.0,1.2315,0.0776,23,4366715.0,1581.570083,addition,1.4196474,Q2 2019,INFORMATION TECHNOLOGY,"","",31.085
Twitter inc,TWTR,"",3243779.0,133644000.0,1.1454,,24,3243779.0,,new,0.4196242,Q3 2019,COMMUNICATIONS,"","",41.2
Electronic arts  inc.,EA,"",1323687.0,129483000.0,1.1097,1.4153,25,-328766.0,-19.895634,reduction,0.4491490,Q4 2014,INFORMATION TECHNOLOGY,"","",78.67
Intuit  inc.,INTU,"",480618.0,127816000.0,1.0954,2.8295,26,-799465.0,-62.454153,reduction,0.1853950,Q4 2018,INFORMATION TECHNOLOGY,"","",251.0
Insulet corp,PODD,"",707408.0,116673000.0,0.9999,,27,707408.0,,new,1.1737315,Q3 2019,HEALTH CARE,"","",164.93
Zoom video communications inc,ZM,"",1139766.0,86850000.0,0.7443,0.9277,28,-95472.0,-7.729037,reduction,0.4183395,Q2 2019,INFORMATION TECHNOLOGY,"","",88.79
Twilio inc,TWLO,"",783840.0,86191000.0,0.7387,1.8831,29,-848983.0,-51.994797,reduction,0.5768195,Q4 2018,INFORMATION TECHNOLOGY,"","",106.94
Okta inc,OKTA,"",872326.0,85889000.0,0.7361,1.06,30,-142373.0,-14.031057,reduction,0.7642597,Q1 2019,INFORMATION TECHNOLOGY,"","",111.31
Workday inc,WDAY,"",410300.0,69735000.0,0.5977,0.2017,31,294312.0,253.743491,addition,0.1815487,Q4 2018,COMMUNICATIONS,"","",167.0539
Dexcom inc,DXCM,"",453063.0,67616000.0,0.5795,,32,453063.0,,new,0.4968341,Q3 2019,HEALTH CARE,"","",149.24
Stoneco ltd,STNE,"",1805545.0,62797000.0,0.5382,0.2931,33,634219.0,54.145387,addition,0.6516566,Q2 2019,FINANCE,"","",31.4066
Ringcentral inc,RNG,"",442258.0,55574000.0,0.4763,,34,442258.0,,new,0.5330336,Q3 2019,UTILITIES AND TELECOMMUNICATIONS,"","",125.66
Illumina inc,ILMN,"",169496.0,51564000.0,0.4419,,35,169496.0,,new,0.1153034,Q3 2019,HEALTH CARE,"","",304.22
Guardant health inc,GH,"",792983.0,50616000.0,0.4338,0.8733,36,-403013.0,-33.696852,reduction,0.8529450,Q2 2019,HEALTH CARE,"","",86.33
Iqvia holdings inc,IQV,"",327872.0,48977000.0,0.4198,,37,327872.0,,new,0.1673670,Q3 2019,HEALTH CARE,"","",149.38
Albemarle corp.,ALB,"",703045.0,48876000.0,0.4189,,38,703045.0,,new,0.6633126,Q3 2019,MATERIALS,"","",69.52
Macys inc,M,"",2352750.0,36562000.0,0.3134,0.0042,39,2329504.0,10021.096103,addition,0.7617282,Q2 2018,CONSUMER DISCRETIONARY,"","",15.6239
Nvidia corp.,NVDA,"",833504.0,36272000.0,0.3109,0.2245,40,187056.0,28.93597,addition,0.0342161,Q3 2016,INFORMATION TECHNOLOGY,"","",123.0524
Salesforce.com inc.,CRM,"",228582.0,33931000.0,0.2908,2.3146,41,-1574922.0,-87.325673,reduction,0.0294564,Q3 2018,INFORMATION TECHNOLOGY,"","",149.08
Green dot corp,GDOT,"",1251295.0,31595000.0,0.2708,0.5175,42,0.0,0.0,,2.4146951,Q2 2019,FINANCE,"","",48.9
Iqiyi inc,IQ,"",1913455.0,30864000.0,0.2645,,43,1913455.0,,new,0.2638812,Q1 2019,COMMUNICATIONS,"","",16.13
Tradeweb markets inc,TW,"",717085.0,26517000.0,0.2273,0.4358,44,-458923.0,-39.023799,reduction,1.1262526,Q2 2019,FINANCE,"","",43.81
Smartsheet inc,SMAR,"",727091.0,26197000.0,0.2245,0.8406,45,-1326294.0,-64.590615,reduction,0.6823301,Q2 2019,INFORMATION TECHNOLOGY,"","",48.4
Datadog inc,DDOG,"",501500.0,17006000.0,0.1457,,46,501500.0,,new,No Data,Q3 2019,INFORMATION TECHNOLOGY,"","",33.91
Zillow group inc class c,Z,"",438078.0,13063000.0,0.112,0.253,47,-206631.0,-32.050274,reduction,0.3087230,Q4 2017,COMMUNICATIONS,"","",34.57
Fitbit inc,FIT2,"",3241083.0,12348000.0,0.1058,0.1183,48,62513.0,1.966702,addition,1.2545318,Q4 2015,INFORMATION TECHNOLOGY,"","",5.8793
Dillards inc.,DDS,"",185882.0,12289000.0,0.1053,0.003,49,180238.0,3193.444366,addition,0.7221523,Q1 2018,CONSUMER DISCRETIONARY,"","",66.2554
Dynatrace inc,DT,"",564003.0,10530000.0,0.0902,,50,564003.0,,new,No Data,Q3 2019,INFORMATION TECHNOLOGY,"","",18.67
Wix.com ltd,WIX,"",89301.0,10425000.0,0.0893,0.2138,51,-88603.0,-49.803827,reduction,0.1791035,Q2 2019,COMMUNICATIONS,"","",142.1
Luckin coffee inc,LKNCY,"",514823.0,9781000.0,0.0838,0.0849,52,0.0,0.0,,0.2187199,Q2 2019,CONSUMER STAPLES,"","",19.49
Transunion,TRU,"",117620.0,9540000.0,0.0818,,53,117620.0,,new,0.0626305,Q3 2019,INFORMATION TECHNOLOGY,"","",81.11
New york times co. class a,NYT,"",322740.0,9192000.0,0.0788,0.0066,54,298699.0,1242.456637,addition,0.1944100,Q2 2019,COMMUNICATIONS,"","",28.7884
Etsy inc,ETSY,"",160830.0,9087000.0,0.0779,,55,160830.0,,new,0.1335132,Q3 2019,CONSUMER DISCRETIONARY,"","",56.5
Pinduoduo inc,PDD,"",267318.0,8613000.0,0.0738,,56,267318.0,,new,0.0239980,Q3 2019,CONSUMER DISCRETIONARY,"","",32.22
Interxion holding n.v.,INXN1,"",104353.0,8501000.0,0.0729,,57,104353.0,,new,0.1364270,Q3 2019,INFORMATION TECHNOLOGY,"","",81.46
Mercadolibre inc,MELI,"",15090.0,8318000.0,0.0713,,58,15090.0,,new,0.0303561,Q3 2019,COMMUNICATIONS,"","",551.23
Alphabet inc. class a,GOOGL,"",6736.0,8226000.0,0.0705,,59,6736.0,,new,0.0009714,Q3 2019,COMMUNICATIONS,"","",1221.14
Applied materials inc.,AMAT,"",163662.0,8167000.0,0.07,,60,163662.0,,new,0.0174832,Q3 2019,INFORMATION TECHNOLOGY,"","",49.9
