Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Uber technologies inc,UBER,,21359622,635235000,26.36,27.4142,1,99416,0.467615,addition,1.2564484,Q2 2019,CONSUMER DISCRETIONARY,,,46.3026
Twilio inc,TWLO,,2990166,293874000,12.1947,13.0418,2,187524,6.690972,addition,2.2004312,Q3 2017,INFORMATION TECHNOLOGY,,,60.273
Datadog inc,DDOG,,6901048,260722000,10.819,10.8264,3,-643275,-8.52661,reduction,2.3810675,Q3 2019,INFORMATION TECHNOLOGY,,,33.91
Alibaba group holding ltd adr,BABA,,1076070,228234000,9.4709,7.948,4,-47000,-4.184957,reduction,0.0422917,Q4 2014,COMMUNICATIONS,,,142.57
Dynatrace inc,DT,,7775051,196709000,8.1627,5.4278,5,905316,13.178325,addition,2.7722495,Q3 2019,INFORMATION TECHNOLOGY,,,19.442
Ceridian hcm holding inc,CDAY,,2136482,145024000,6.018,5.9032,6,-688981,-24.384711,reduction,1.4924778,Q2 2018,INFORMATION TECHNOLOGY,,,34.09
Greensky inc,GSKY,,15347750,136595000,5.6682,4.4458,7,0,0,,8.6661491,Q2 2018,INFORMATION TECHNOLOGY,,,10.94
Livongo health inc,LVGO1,,4579912,114773000,4.7627,3.5575,8,-240190,-4.98309,reduction,4.8490334,Q3 2019,HEALTH CARE,,,17.44
Servicenow inc,NOW,,395787,111739000,4.6368,4.2518,9,0,0,,0.2110864,Q1 2016,INFORMATION TECHNOLOGY,,,116.33
58.com inc adr,WUBA1,,1371562,88781000,3.6841,3.01,10,-70890,-4.914548,reduction,0.9224926,Q4 2014,CONSUMER DISCRETIONARY,,,53.78
Meta platforms  inc.,FB,,290565,59638000,2.4748,2.8981,11,-94000,-24.443202,reduction,0.0101847,Q2 2016,COMMUNICATIONS,,,151.04
Xp inc.,XP,,1209758,46600000,1.9337,,12,1209758,,new,0.2192385,Q4 2019,FINANCE,,,38.52
Bill.com holdings  inc.,BILL,,451923,17196000,0.7136,,13,451923,,new,0.6405712,Q4 2019,INFORMATION TECHNOLOGY,,,38.05
Upwork inc,UPWK,,1603038,17104000,0.7098,1.701,14,-1417993,-46.937387,reduction,1.4467852,Q4 2018,INFORMATION TECHNOLOGY,,,17.19
Peloton interactive inc,PTON,,554974,15761000,0.654,1.2661,15,-637026,-53.441779,reduction,0.1986377,Q3 2019,CONSUMER DISCRETIONARY,,,25.1
Medallia inc,MDLA1,,500000,15555000,0.6455,0.5804,16,0,0,,0.3918802,Q3 2019,INFORMATION TECHNOLOGY,,,27.43
Sunlands online education group,STG,,238149.92,7651000,0.3175,0.3716,17,0,0,,2.7505073,Q1 2018,CONSUMER DISCRETIONARY,,,8.4
Zoom video communications inc,ZM,,100000,6804000,0.2823,,18,100000,,new,0.0365564,Q4 2019,INFORMATION TECHNOLOGY,,,68.04
Tencent music entertainment group,TME,,515464,6052000,0.2511,0.5294,19,-464175,-47.38225,reduction,0.0315657,Q4 2018,INFORMATION TECHNOLOGY,,,13.25
Farfetch ltd,FTCH,,400000,4140000,0.1718,0.1463,20,0,0,,0.1333956,Q3 2018,CONSUMER DISCRETIONARY,,,27.23
Netflix inc,NFLX,,5120,1657000,0.0688,0.058,21,0,0,,0.0011694,Q2 2016,COMMUNICATIONS,,,106.06
Yandex n.v.,YNDX,,0,0,,3.8432,,-2593984,-100,soldall,0,Q2 2019,COMMUNICATIONS,,,36.72
Elastic nv,ESTC,,0,0,,0.5227,,-150000,-100,soldall,0,Q4 2018,INFORMATION TECHNOLOGY,,,71.48
Spotify technology sa,SPOT,,0,0,,2.0668,,-428410,-100,soldall,0,Q2 2018,COMMUNICATIONS,,,168.24
Stoneco ltd,STNE,,0,0,,0.0736,,-50000,-100,soldall,0,Q4 2018,FINANCE,,,18.44
Eventbrite inc,EB,,0,0,,0.1162,,-155000,-100,soldall,0,Q3 2018,COMMUNICATIONS,,,37.97
