Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Square inc,SQ,"",4260013.0,927149000.0,5.2655,6.7892,1,-383034.0,-8.249626,reduction,1.1099392,Q4 2016,FINANCE,"","",52.29
Tesla inc,TSLA,"",1246642.0,879718000.0,4.9961,5.1174,2,-67427.0,-5.131161,reduction,0.1315161,Q1 2018,CONSUMER DISCRETIONARY,"","",49.02
Roku inc,ROKU,"",2454307.0,814879000.0,4.6279,3.8004,3,214951.0,9.598786,addition,2.2519386,Q3 2019,INFORMATION TECHNOLOGY,"","",137.5927
Crispr therapeutics ag,CRSP,"",3836823.0,587456000.0,3.3363,2.7362,4,139156.0,3.763346,addition,5.3882572,Q3 2018,HEALTH CARE,"","",48.3428
Teladoc health inc,TDOC,"",2824067.0,564700000.0,3.207,2.0284,5,1791008.0,173.369382,addition,1.9481598,Q4 2018,HEALTH CARE,"","",201.5732
Zillow group inc class c,Z,"",3851340.0,499904000.0,2.8391,3.4129,6,94127.0,2.505235,addition,2.3216559,Q3 2018,COMMUNICATIONS,"","",38.4095
Sea ltd adr,SE,"",2364577.0,470669000.0,2.673,3.3603,7,-62191.0,-2.562709,reduction,0.4618933,Q1 2020,INFORMATION TECHNOLOGY,"","",107.75
Invitae corp,NVTA,"",11255614.0,470597000.0,2.6726,4.3752,8,-16130.0,-0.143101,reduction,6.3699107,Q3 2018,HEALTH CARE,"","",19.02
Twilio inc,TWLO,"",1331709.0,450783000.0,2.5601,2.2025,9,333582.0,33.420797,addition,0.8890855,Q1 2019,INFORMATION TECHNOLOGY,"","",238.5006
Paypal holdings inc,PYPL,"",1824281.0,427247000.0,2.4264,1.5266,10,958625.0,110.739716,addition,0.1556963,Q4 2015,COMMUNICATIONS,"","",167.6819
Intercontinental exchange inc,ICE,"",3149065.0,363056000.0,2.0619,1.893,11,999237.0,46.479858,addition,0.5610469,Q1 2018,FINANCE,"","",99.6701
Spotify technology sa,SPOT,"",1063514.0,334645000.0,1.9005,1.5392,12,354587.0,50.017421,addition,0.5609660,Q2 2018,COMMUNICATIONS,"","",266.4723
Docusign inc,DOCU,"",1447976.0,321885000.0,1.828,1.4509,13,698316.0,93.151028,addition,0.7761578,Q3 2019,INFORMATION TECHNOLOGY,"","",198.8986
Taiwan semiconductor manufacturing co ltd adr,TSM,"",2879241.0,313952000.0,1.783,1.8146,14,371404.0,14.809734,addition,0.0555187,Q1 2018,INFORMATION TECHNOLOGY,"","",72.4142
Lendingtree inc,TREE,"",1141653.0,312573000.0,1.7752,2.4103,15,152651.0,15.434853,addition,8.6968753,Q4 2016,FINANCE,"","",251.4744
Editas medicine inc,EDIT,"",4388143.0,307653000.0,1.7472,1.2555,16,-685965.0,-13.518928,reduction,7.0397017,Q3 2018,HEALTH CARE,"","",23.9
Shopify inc,SHOP,"",269400.0,304947000.0,1.7319,0.0857,17,260029.0,2774.826593,addition,0.2431341,Q3 2020,COMMUNICATIONS,"","",1128.1592
Mercadolibre inc,MELI,"",175765.0,294445000.0,1.6722,1.8661,18,-17777.0,-9.185086,reduction,0.3524483,Q4 2016,COMMUNICATIONS,"","",462.55
Pure storage inc,PSTG,"",12569420.0,284195000.0,1.614,1.5219,19,1638297.0,14.987454,addition,4.6073731,Q1 2020,INFORMATION TECHNOLOGY,"","",15.7484
Intellia therapeutics inc,NTLA,"",5104362.0,277677000.0,1.577,1.0799,20,-958154.0,-15.80456,reduction,7.9021642,Q3 2018,HEALTH CARE,"","",15.62
Pagerduty inc,PD,"",6359550.0,265193000.0,1.5061,1.3887,21,598354.0,10.385934,addition,7.7619104,Q1 2020,INFORMATION TECHNOLOGY,"","",26.1908
Twist bioscience corp,TWST,"",1840306.0,260017000.0,1.4767,1.04,22,223928.0,13.85369,addition,3.7853794,Q1 2020,HEALTH CARE,"","",61.3189
2u  inc,TWOU,"",6272370.0,250958000.0,1.4252,1.8179,23,215827.0,3.563535,addition,8.7033015,Q4 2018,CONSUMER DISCRETIONARY,"","",23.0735
Pinterest inc,PINS,"",3773852.0,248697000.0,1.4124,2.1855,24,-2096573.0,-35.71416,reduction,0.7387307,Q3 2019,COMMUNICATIONS,"","",17.42
