Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Uber technologies inc,UBER,,21402034,597545000,26.6836,26.36,1,42412,0.198562,addition,1.2390482,Q2 2019,CONSUMER DISCRETIONARY,,,46.2636
Twilio inc,TWLO,,3318893,297008000,13.263,12.1947,2,328727,10.993604,addition,2.3711335,Q3 2017,INFORMATION TECHNOLOGY,,,63.1642
Datadog inc,DDOG,,6419943,230990000,10.315,10.819,3,-481105,-6.971477,reduction,2.1479796,Q3 2019,INFORMATION TECHNOLOGY,,,33.91
Dynatrace inc,DT,,8559935,204069000,9.1128,8.1627,4,784884,10.094905,addition,3.0483841,Q3 2019,INFORMATION TECHNOLOGY,,,19.8434
Alibaba group holding ltd adr,BABA,,867925,168794000,7.5376,9.4709,5,-208145,-19.343072,reduction,0.0323524,Q4 2014,COMMUNICATIONS,,,142.57
Livongo health inc,LVGO1,,4579912,130665000,5.8349,4.7627,6,0,0,,4.7144512,Q3 2019,HEALTH CARE,,,17.44
Meta platforms  inc.,FB,,574440,95817000,4.2788,2.4748,7,283875,97.697589,addition,0.0201503,Q2 2016,COMMUNICATIONS,,,158.8282
Servicenow inc,NOW,,330550,94729000,4.2302,4.6368,8,-65237,-16.482856,reduction,0.174157,Q1 2016,INFORMATION TECHNOLOGY,,,116.33
Square inc,SQ,,1651118,86486000,3.8621,,9,1651118,,new,0.3758597,Q1 2020,FINANCE,,,52.38
Cargurus inc,CARG,,3640905,68959000,3.0794,,10,3640905,,new,3.232502,Q1 2020,CONSUMER DISCRETIONARY,,,18.94
58.com inc adr,WUBA1,,1371562,66823000,2.984,3.6841,11,0,0,,0.9165824,Q4 2014,CONSUMER DISCRETIONARY,,,53.78
Greensky inc,GSKY,,14787696,56489000,2.5225,5.6682,12,-560054,-3.649095,reduction,8.2201028,Q2 2018,INFORMATION TECHNOLOGY,,,10.94
Ceridian hcm holding inc,CDAY,,1034739,51809000,2.3136,6.018,13,-1101743,-51.568092,reduction,0.7276846,Q2 2018,INFORMATION TECHNOLOGY,,,34.09
Peloton interactive inc,PTON,,1253366,33277000,1.486,0.654,14,698392,125.842292,addition,0.4465647,Q3 2019,CONSUMER DISCRETIONARY,,,25.908
Anaplan inc,PLAN,,672586,20352000,0.9088,,15,672586,,new,0.491058,Q1 2020,INFORMATION TECHNOLOGY,,,30.26
Medallia inc,MDLA1,,500000,10020000,0.4474,0.6455,16,0,0,,0.3618272,Q3 2019,INFORMATION TECHNOLOGY,,,27.43
Xp inc.,XP,,480599,9271000,0.414,1.9337,17,-729159,-60.273129,reduction,0.0870965,Q4 2019,FINANCE,,,38.52
Tencent music entertainment group,TME,,515464,5186000,0.2316,0.2511,18,0,0,,0.0307275,Q4 2018,INFORMATION TECHNOLOGY,,,13.25
Sunlands online education group,STG,,238149.92,4078000,0.1821,0.3175,19,0,0,,1.750657,Q1 2018,CONSUMER DISCRETIONARY,,,8.4
Farfetch ltd,FTCH,,400000,3160000,0.1411,0.1718,20,0,0,,0.11769,Q3 2018,CONSUMER DISCRETIONARY,,,27.23
Netflix inc,NFLX,,5120,1923000,0.0859,0.0688,21,0,0,,0.0011642,Q2 2016,COMMUNICATIONS,,,106.06
Pinterest inc,PINS,,50000,772000,0.0345,,22,50000,,new,0.0085934,Q1 2020,COMMUNICATIONS,,,15.44
Bill.com holdings  inc.,BILL,,21800,746000,0.0333,0.7136,23,-430123,-95.176169,reduction,0.0301381,Q4 2019,INFORMATION TECHNOLOGY,,,38.05
Momentive global inc,MNTV,,29583,400000,0.0179,,24,29583,,new,0.0214261,Q1 2020,INFORMATION TECHNOLOGY,,,13.51
Upwork inc,UPWK,,0,0,,0.7098,,-1603038,-100,soldall,0,Q4 2018,INFORMATION TECHNOLOGY,,,17.19
Zoom video communications inc,ZM,,0,0,,0.2823,,-100000,-100,soldall,0,Q4 2019,INFORMATION TECHNOLOGY,,,68.04
