Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Mirati therapeutics inc,MRTX,"",3693516.0,811244000.0,8.7059,8.3286,1,257941.0,7.507943,addition,7.3457371,Q4 2017,HEALTH CARE,"","",111.1271
Amicus therapeutics inc,FOLD,"",25112048.0,579837000.0,6.2226,5.1788,2,-10000.0,-0.039806,reduction,9.6367007,Q1 2014,HEALTH CARE,"","",6.68
Bridgebio pharma inc,BBIO,"",6706268.0,476883000.0,5.1177,3.6735,3,0.0,0.0,,5.4654667,Q2 2019,HEALTH CARE,"","",26.97
Travere therapeutics inc,TVTX,PRN,45000000.0,442521000.0,4.749,5.6955,4,0.0,0.0,,N/A,Q1 2020,MATERIALS,"","",
Iovance biotherapeutics inc,IOVA,"",9166304.0,425316000.0,4.5643,4.8473,5,-919328.0,-9.115225,reduction,6.2488722,Q1 2014,HEALTH CARE,"","",13.9
Invitae corp,NVTA,"",7284466.0,304563000.0,3.2684,,6,7284466.0,,new,4.1225115,Q4 2020,HEALTH CARE,"","",41.81
Springworks therapeutics inc,SWTX,"",4177721.0,302968000.0,3.2513,2.4227,7,696573.0,20.009865,addition,8.5666695,Q3 2019,HEALTH CARE,"","",30.9651
Global blood therapeutics inc,GBT,"",5674711.0,245771000.0,2.6375,4.6699,8,-126285.0,-2.176954,reduction,9.1829088,Q3 2015,HEALTH CARE,"","",32.85
Horizon therapeutics plc,HZNP,"",3084042.0,225597000.0,2.421,,9,3084042.0,,new,1.3973272,Q4 2020,HEALTH CARE,"","",73.15
Zymeworks inc,ZYME,"",4300999.0,203265000.0,2.1814,2.9929,10,-100000.0,-2.272211,reduction,9.3610045,Q2 2017,HEALTH CARE,"","",28.81
Rocket pharmaceuticals inc,RCKT,"",3396867.0,186284000.0,1.9991,0.7306,11,1207857.0,55.178231,addition,5.6731074,Q4 2018,HEALTH CARE,"","",29.9009
Neurocrine biosciences inc.,NBIX,"",1899215.0,182040000.0,1.9536,2.1742,12,350500.0,22.631666,addition,2.0327863,Q2 2010,HEALTH CARE,"","",50.25
Collegium pharmaceutical inc note 2.625% 2/1,PRN-COLL,PRN,17500000.0,173250000.0,1.8592,2.3909,13,0.0,0.0,,N/A,Q2 2020, ,"","",
Nevro corp,NVRO,"",977565.0,169217000.0,1.816,1.6802,14,151401.0,18.32578,addition,2.8393839,Q1 2019,HEALTH CARE,"","",90.0243
Nevro corp note 2.750% 4/0,DEBT-NEVR,PRN,9000000.0,165420000.0,1.7752,2.0705,15,0.0,0.0,,N/A,Q2 2020, ,"","",
Outset medical  inc.,OM,"",2847822.0,161870000.0,1.7371,2.0788,16,0.0,0.0,,6.6692769,Q3 2020,INFORMATION TECHNOLOGY,"","",50.0
Vbi vaccines inc,VBIV,"",55042465.0,151366000.0,1.6244,2.2983,17,0.0,0.0,,22.7398658,Q1 2015,MATERIALS,"","",32.87
Athenex inc,ATNX,"",13532467.0,149669000.0,1.6062,2.3552,18,0.0,0.0,,14.4981539,Q1 2018,HEALTH CARE,"","",15.82
Atea pharmaceuticals  inc.,AVIR,"",3109224.0,129903000.0,1.3941,,19,3109224.0,,new,3.7634220,Q4 2020,HEALTH CARE,"","",
Novavax inc,NVAX,"",1043000.0,116305000.0,1.2481,1.1195,20,335285.0,47.375709,addition,1.6383927,Q2 2020,HEALTH CARE,"","",100.9791
Frequency therapeutics inc,FREQ,"",3259635.0,114935000.0,1.2334,0.9133,21,3117.0,0.095716,addition,9.6625604,Q4 2019,HEALTH CARE,"","",17.6568
Kodiak sciences inc,KOD,"",751533.0,110408000.0,1.1849,0.9016,22,-291488.0,-27.946513,reduction,1.4801046,Q4 2018,HEALTH CARE,"","",16.45
Athira pharma  inc.,ATHA,"",3114805.0,106682000.0,1.1449,0.8395,23,0.0,0.0,,9.5883865,Q3 2020,HEALTH CARE,"","",18.46
Meiragtx holdings plc,MGTX,"",6933277.0,104970000.0,1.1265,1.2435,24,500000.0,7.772089,addition,15.9708168,Q2 2018,HEALTH CARE,"","",13.0801
C4 therapeutics  inc.,CCCC,"",3158566.0,104643000.0,1.123,,25,3158566.0,,new,7.3404664,Q4 2020,HEALTH CARE,"","",33.13
Relay therapeutics  inc.,RLAY,"",2329407.0,96810000.0,1.0389,1.4484,26,0.0,0.0,,2.5886679,Q3 2020,HEALTH CARE,"","",42.59
Travere therapeutics inc,TVTX,"",3493607.0,95218000.0,1.0218,0.8732,27,253495.0,7.823649,addition,6.8432565,Q4 2013,MATERIALS,"","",18.1429
Eidos therapeutics inc,EIDX1,"",686922.0,90385000.0,0.97,0.5067,28,0.0,0.0,,1.7675965,Q2 2018,HEALTH CARE,"","",20.9
Albireo pharma inc,ALBO,"",2360139.0,88529000.0,0.9501,1.1498,29,0.0,0.0,,12.3714863,Q2 2017,HEALTH CARE,"","",25.26
Quotient ltd,QTNT,"",16200818.0,84406000.0,0.9058,1.2157,30,0.0,0.0,,16.0369653,Q2 2014,HEALTH CARE,"","",7.28
Kronos bio  inc.,KRON,"",2780097.0,83041000.0,0.8912,,31,2780097.0,,new,4.9614905,Q4 2020,HEALTH CARE,"","",29.87
Arrowhead pharmaceuticals inc,ARWR,"",1070814.0,82164000.0,0.8818,,32,1070814.0,,new,1.0420861,Q4 2020,HEALTH CARE,"","",76.73
Solid biosciences inc,SLDB,"",10803857.0,81893000.0,0.8788,0.2,33,4054054.0,60.061812,addition,12.7443558,Q1 2018,HEALTH CARE,"","",8.2735
Coherus biosciences inc,CHRS,"",4671836.0,81197000.0,0.8714,0.9737,34,1035351.0,28.471202,addition,6.4843371,Q2 2020,HEALTH CARE,"","",18.0728
Cerevel therapeutics holdings inc. warrant,CEREW,"",4544062.0,75340000.0,0.8085,,35,4544062.0,,new,N/A,Q4 2020, ,"","",
Provention bio inc,PRVB,"",4224389.0,71561000.0,0.768,0.799,36,-41322.0,-0.968701,reduction,7.4783974,Q3 2019,HEALTH CARE,"","",13.33
Kadmon holdings inc,KDMN,"",15711334.0,65202000.0,0.6997,0.8992,37,0.0,0.0,,9.1604363,Q3 2016,HEALTH CARE,"","",4.46
Immunovant inc,IMVT,"",1400000.0,64666000.0,0.694,0.7193,38,0.0,0.0,,1.5932205,Q2 2020,FINANCE,"","",
Oncorus  inc.,ONCR,"",1989987.0,64336000.0,0.6904,,39,1989987.0,,new,8.7990252,Q4 2020,HEALTH CARE,"","",32.33
Inari medical  inc.,NARI,"",668500.0,58353000.0,0.6262,0.855,40,-180000.0,-21.213907,reduction,1.3723850,Q2 2020,HEALTH CARE,"","",52.14
Zentalis pharmaceuticals  inc.,ZNTL,"",1050003.0,54537000.0,0.5853,0.5011,41,0.0,0.0,,2.5853319,Q2 2020,HEALTH CARE,"","",48.02
Pmv pharmaceuticals  inc.,PMVP,"",885556.0,54471000.0,0.5846,0.3138,42,280000.0,46.238498,addition,1.9778465,Q3 2020,HEALTH CARE,"","",43.724
Tarsus pharmaceuticals  inc.,TARS,"",1296416.0,53580000.0,0.575,,43,1296416.0,,new,6.3798662,Q4 2020,HEALTH CARE,"","",41.33
Adaptive biotechnologies corp,ADPT,"",904854.0,53504000.0,0.5742,0.5893,44,74854.0,9.018554,addition,0.6615764,Q2 2019,HEALTH CARE,"","",44.7655
Crinetics pharmaceuticals inc,CRNX,"",3659381.0,51634000.0,0.5541,0.8372,45,0.0,0.0,,11.1151951,Q3 2018,HEALTH CARE,"","",25.39
Urovant sciences ltd,UROV1,"",3116831.0,50274000.0,0.5395,0.3227,46,750000.0,31.687941,addition,9.8257597,Q3 2018,HEALTH CARE,"","",11.1409
Compass pathways plc ads,CMPS,"",1047404.0,49898000.0,0.5355,0.5337,47,0.0,0.0,,2.9150970,Q3 2020,HEALTH CARE,"","",34.9
Agile therapeutics inc,AGRX,"",15919925.0,45690000.0,0.4903,0.7066,48,0.0,0.0,,18.2078082,Q1 2019,HEALTH CARE,"","",1.63
Arena pharmaceuticals inc,ARNA,"",575007.0,44178000.0,0.4741,0.6826,49,-50122.0,-8.017865,reduction,0.9885957,Q4 2017,HEALTH CARE,"","",51.09
