Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Jd.com inc adr,JD,"",51594753.0,4117777000.0,7.6592,10.0203,1,-55613.0,-0.107672,reduction,3.8519174,Q4 2014,CONSUMER DISCRETIONARY,"","",29.77
Microsoft corp.,MSFT,"",13131734.0,3557387000.0,6.6169,7.4431,2,-591000.0,-4.306722,reduction,0.1747428,Q4 2016,INFORMATION TECHNOLOGY,"","",113.35
Sea ltd adr,SE,"",10148500.0,2786778000.0,5.1835,4.8815,3,643000.0,6.764505,addition,2.7621515,Q1 2018,INFORMATION TECHNOLOGY,"","",52.6161
Roblox corp. class a,RBLX,"",27392297.0,2464759000.0,4.5845,6.0297,4,-13036566.0,-32.24569,reduction,5.3060740,Q1 2021,INFORMATION TECHNOLOGY,"","",64.83
Docusign inc,DOCU,"",7280000.0,2035270000.0,3.7857,2.399,5,2129000.0,41.33178,addition,3.7364926,Q2 2018,INFORMATION TECHNOLOGY,"","",222.8595
Amazon.com inc.,AMZN,"",567870.0,1953564000.0,3.6337,4.364,6,-45225.0,-7.376508,reduction,0.1121297,Q2 2015,CONSUMER DISCRETIONARY,"","",913.03
Doordash  inc.,DASH,"",10913734.0,1946246000.0,3.6201,1.7517,7,5107166.0,87.954985,addition,3.4356652,Q4 2020,CONSUMER DISCRETIONARY,"","",154.9148
Apollo glbl management llc,APO,"",31052476.0,1931464000.0,3.5926,3.7758,8,-3861024.0,-11.058828,reduction,13.1842331,Q1 2017,FINANCE,"","",25.76
Carvana co,CVNA,"",6355107.0,1918098000.0,3.5677,3.6297,9,342200.0,5.691091,addition,7.5206541,Q1 2019,CONSUMER DISCRETIONARY,"","",73.8348
Crowdstrike holdings inc,CRWD,"",7537000.0,1894123000.0,3.5231,3.1645,10,0.0,0.0,,3.7827972,Q2 2019,INFORMATION TECHNOLOGY,"","",111.48
Pinduoduo inc,PDD,"",14053066.0,1785020000.0,3.3202,4.3283,11,0.0,0.0,,1.1212951,Q3 2018,CONSUMER DISCRETIONARY,"","",57.85
Meta platforms  inc.,FB,"",5053137.0,1757026000.0,3.2681,3.7674,12,-507000.0,-9.11848,reduction,0.2119771,Q4 2016,COMMUNICATIONS,"","",165.55
Zoom video communications inc,ZM,"",4283073.0,1657678000.0,3.0833,1.811,13,1832869.0,74.804751,addition,1.8088662,Q2 2019,INFORMATION TECHNOLOGY,"","",296.4947
Shopify inc,SHOP,"",872300.0,1274413000.0,2.3705,1.3174,14,354750.0,68.544102,addition,0.7698783,Q2 2015,COMMUNICATIONS,"","",1166.0186
Servicenow inc,NOW,"",2206240.0,1212439000.0,2.2552,2.4805,15,50240.0,2.330241,addition,1.1137002,Q3 2017,INFORMATION TECHNOLOGY,"","",407.2167
Ringcentral inc,RNG,"",3940000.0,1144885000.0,2.1295,2.2795,16,613630.0,18.447437,addition,4.8398387,Q1 2019,UTILITIES AND TELECOMMUNICATIONS,"","",141.7207
Transdigm group inc,TDG,"",1757245.0,1137447000.0,2.1157,2.3767,17,0.0,0.0,,3.1884730,Q4 2016,INDUSTRIALS,"","",269.66
Peloton interactive inc,PTON,"",8826164.0,1094621000.0,2.036,2.0326,18,968392.0,12.324002,addition,3.2842229,Q1 2020,CONSUMER DISCRETIONARY,"","",62.8398
Uber technologies inc,UBER,"",20747855.0,1039882000.0,1.9342,2.6111,19,-73857.0,-0.354711,reduction,1.1149330,Q2 2019,CONSUMER DISCRETIONARY,"","",42.27
Snowflake  inc.,SNOW,"",4189254.0,1012962000.0,1.8841,1.1771,20,1957602.0,87.71986,addition,1.4148105,Q3 2020,INFORMATION TECHNOLOGY,"","",247.8782
Workday inc,WDAY,"",4127450.0,985387000.0,1.8329,2.3589,21,0.0,0.0,,2.1838360,Q3 2019,COMMUNICATIONS,"","",167.77
Alibaba group holding ltd adr,BABA,"",4219678.0,956939000.0,1.7799,2.3357,22,-258384.0,-5.769996,reduction,0.1552391,Q3 2016,COMMUNICATIONS,"","",159.66
Procore technologies inc,PCOR,"",9525439.0,904440000.0,1.6823,,23,9525439.0,,new,7.4336187,Q2 2021,INFORMATION TECHNOLOGY,"","",94.95
Spotify technology sa,SPOT,"",3158195.0,870367000.0,1.6189,1.9622,24,-24991.0,-0.785094,reduction,1.7619243,Q2 2018,COMMUNICATIONS,"","",180.86
Uipath inc,PATH,"",10423632.0,708077000.0,1.3171,,25,10423632.0,,new,2.4446915,Q2 2021,INFORMATION TECHNOLOGY,"","",67.93
Coinbase global inc,COIN,"",2625294.0,664987000.0,1.2369,,26,2625294.0,,new,1.7389762,Q2 2021,INFORMATION TECHNOLOGY,"","",253.3
Atlassian corp plc,TEAM,"",2465400.0,633263000.0,1.1779,1.1954,27,0.0,0.0,,1.8654230,Q4 2015,INFORMATION TECHNOLOGY,"","",132.09
Futu holdings ltd,FUTU,"",3468000.0,621084000.0,1.1552,1.2203,28,128000.0,3.832335,addition,4.0870487,Q1 2021,INFORMATION TECHNOLOGY,"","",159.5681
Doubleverify holdings inc,DV,"",13842494.0,586091000.0,1.0902,,29,13842494.0,,new,8.7693306,Q2 2021,INFORMATION TECHNOLOGY,"","",42.34
Elastic nv,ESTC,"",4019843.0,585932000.0,1.0899,1.0283,30,0.0,0.0,,4.3931328,Q4 2018,INFORMATION TECHNOLOGY,"","",65.62
Netflix inc,NFLX,"",1086490.0,573895000.0,1.0675,1.2676,31,30200.0,2.859063,addition,0.2459263,Q1 2017,COMMUNICATIONS,"","",256.2942
Datadog inc,DDOG,"",4992437.0,519613000.0,0.9665,0.912,32,235437.0,4.949275,addition,2.0824831,Q3 2019,INFORMATION TECHNOLOGY,"","",49.9967
Adobe systems  inc.,ADBE,"",737500.0,431910000.0,0.8034,0.8065,33,0.0,0.0,,0.1548069,Q2 2018,INFORMATION TECHNOLOGY,"","",424.24
Sunrun inc,RUN,"",7073257.0,394546000.0,0.7339,0.9841,34,0.0,0.0,,3.4347385,Q1 2018,ENERGY,"","",13.57
Coupa software inc,COUP,"",1499000.0,392903000.0,0.7308,0.8395,35,65000.0,4.532775,addition,2.0387534,Q4 2020,INFORMATION TECHNOLOGY,"","",292.2632
Yatsen holding ltd ads,YSG,"",28213701.0,264362000.0,0.4917,0.1623,36,22499701.0,393.764456,addition,7.1113938,Q4 2020,CONSUMER DISCRETIONARY,"","",10.9153
Mastercard inc,MA,"",724000.0,264325000.0,0.4917,0.593,37,0.0,0.0,,0.0739659,Q4 2007,FINANCE,"","",131.38
Paypal holdings inc,PYPL,"",896001.0,261166000.0,0.4858,0.5006,38,0.0,0.0,,0.0762533,Q4 2019,COMMUNICATIONS,"","",108.17
1life healthcare inc.,ONEM,"",7620000.0,251917000.0,0.4686,0.6851,39,0.0,0.0,,5.5296552,Q4 2020,INFORMATION TECHNOLOGY,"","",41.44
8x8 inc,EGHT,"",9000000.0,249840000.0,0.4647,0.6717,40,0.0,0.0,,8.0333463,Q1 2019,INFORMATION TECHNOLOGY,"","",26.58
Ironsource ltd,IS,"",20500000.0,215250000.0,0.4004,0.0962,41,16500000.0,412.5,addition,20.0195313,Q1 2021,FINANCE,"","",10.4902
Square inc,SQ,"",872000.0,212594000.0,0.3954,0.4022,42,102000.0,13.246753,addition,0.2194284,Q4 2020,FINANCE,"","",224.603
Bright health group inc,BHG,"",11847808.0,203308000.0,0.3782,,43,11847808.0,,new,1.8799395,Q2 2021,FINANCE,"","",17.16
Gds holdings ltd adr,GDS,"",2572811.0,201940000.0,0.3756,0.6857,44,-1102633.0,-29.999995,reduction,1.4417646,Q2 2019,COMMUNICATIONS,"","",37.57
Asana  inc.,ASAN,"",2881202.0,178721000.0,0.3324,0.1894,45,0.0,0.0,,3.1369845,Q3 2020,INFORMATION TECHNOLOGY,"","",29.15
Fleetcor technologies inc,FLT,"",647662.0,165840000.0,0.3085,0.4002,46,0.0,0.0,,0.7840555,Q4 2012,INFORMATION TECHNOLOGY,"","",151.05
Coupang inc,CPNG,"",3571428.0,149357000.0,0.2778,0.4055,47,0.0,0.0,,0.2292673,Q1 2021,CONSUMER DISCRETIONARY,"","",49.35
Qualtrics intl inc,XM,"",3615750.0,138302000.0,0.2572,0.1249,48,1965750.0,119.136364,addition,3.9538010,Q1 2021,INFORMATION TECHNOLOGY,"","",35.8132
Dlocal limited cl a,DLO,"",2602000.0,136683000.0,0.2542,,49,2602000.0,,new,1.8041614,Q2 2021, ,"","",13.142
Oscar health  inc.,OSCR,"",6179409.0,132857000.0,0.2471,0.3438,50,619419.0,11.14065,addition,3.5871318,Q1 2021,FINANCE,"","",26.3407
Playtika holding corp,PLTK,"",5500000.0,131120000.0,0.2439,0.3443,51,0.0,0.0,,1.3426613,Q1 2021,INFORMATION TECHNOLOGY,"","",27.21
Ke holdings inc.,BEKE,"",2500000.0,119200000.0,0.2217,0.3277,52,0.0,0.0,,0.2790810,Q3 2020,INFORMATION TECHNOLOGY,"","",61.3
